"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2024","133.290","132.670","134.410","130.110","1.28K","0.45%"
"03/11/2024","132.690","133.760","134.380","130.060","5.36K","-0.80%"
"03/10/2024","133.760","131.400","135.650","130.260","2.22K","1.80%"

